incident, address
19-002236, "199 VAN NOSTRAND AVE, MARTIN LUTHER KING DR & BERGEN AVE, JERSEY CITY, NJ 07305"
19-003003, "102 GRANT AVE, MARTIN LUTHER KING DR & BERGEN AVE, JERSEY CITY, NJ 07305"
19-006749, "ARMSTRONG AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
19-008111, "MARTIN LUTHER KING DR & ARMSTRONG AVE, JERSEY CITY, NJ 07305"
19-009507, "207 7TH ST, GROVE ST & ERIE ST, JERSEY CITY, NJ 07302"
19-023268, "113 MARTIN LUTHER KING DR, WOODLAWN AVE & FULTON AVE, JERSEY CITY, NJ 07305"
19-025765, "UNION ST & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07304"
19-026636, "341 MARTIN LUTHER KING DR, CLAREMONT AVE & ORIENT AVE, JERSEY CITY, NJ 07305"
20-000698, "207 BAYVIEW AVE, MARTIN LUTHER KING DR & BERGEN AVE, JERSEY CITY, NJ 07305"
20-002025, "265 STEGMAN ST, BERGEN AVE & JOHN F KENNEDY BLVD, JERSEY CITY, NJ 07305"
20-008416, "CATOR AVE & RUTGERS AVE, JERSEY CITY, NJ 07305"
20-009807, "161 BIDWELL AVE, OCEAN AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
19-004271, "NJ-440 & DANFORTH AVE, JERSEY CITY, NJ 07305"
19-005877, "0-1 CHAPEL AVE, CAVEN POINT RD & INDEPENDENCE WAY, JERSEY CITY, NJ 07305"
19-011045, "BOSTWICK AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
19-014694, "MARTIN LUTHER KING DR & FULTON AVE, JERSEY CITY, NJ 07305"
19-019057, "VAN NOSTRAND AVE & OCEAN AVE, JERSEY CITY, NJ 07305"
19-020441, "RUTGERS AVE & NEW ST, JERSEY CITY, NJ 07305"
19-025285, "102 WARNER AVE, PARNELL PL & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
19-025056, "315A STEVENS AVE, GLENN LN & W SIDE AVE, JERSEY CITY, NJ 07305"
19-028543, "WARNER AVE & JOHN F KENNEDY BLVD, JERSEY CITY, NJ 07305"
19-029435, "238 ARLINGTON AVE, at CARTERET AVE, JERSEY CITY, NJ 07305"
20-003647, "158 BERGEN AVE, BIDWELL AVE & BAYVIEW AVE, JERSEY CITY, NJ 07305"
20-009478, "274 MARTIN LUTHER KING DR, BOSTWICK AVE & MYRTLE AVE, JERSEY CITY, NJ 07305"
19-005014, "MARTIN LUTHER KING DR & WEGMAN PKWY, JERSEY CITY, NJ 07305"
19-004925, "MARTIN LUTHER KING DR & BIDWELL AVE, JERSEY CITY, NJ 07305"
19-011574, "692 OCEAN AVE, CARTERET AVE & VIRGINIA AVE, JERSEY CITY, NJ 07305"
19-012288, "222 WILKINSON AVE, MARTIN LUTHER KING DR & BERGEN AVE, JERSEY CITY, NJ 07305"
19-015227, "172 CLAREMONT AVE, MARTIN LUTHER KING DR & BERGEN AVE, JERSEY CITY, NJ 07305"
19-022035, "40 CARBON PL, MOTORANO WAY & ST HWY 440, JERSEY CITY, NJ 07305"
20-000257, "1855 JOHN F KENNEDY BLVD, 3RD FLOOR, FOWLER AVE & STEVENS AVE, JERSEY CITY, NJ 07305"
20-002311, "WINFIELD AVE & OLD BERGEN RD, JERSEY CITY, NJ 07305"
20-004672, "WILKINSON AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
19-002400, "361 MARTIN LUTHER KING DR, at VIRGINIA AVE, JERSEY CITY, NJ 07305"
20-005326, "160 CARTERET AVE, ARLINGTON AVE & CLERK ST, JERSEY CITY, NJ 07305"
20-008991, "226 NEWARK AVE, 1ST ST & COLES ST, JERSEY CITY, NJ 07302"
19-007141, "943 COMMUNIPAW AVE, MALLORY AVE & MARCY AVE, JERSEY CITY, NJ 07304"
19-010167, "JERSEY CITY, NJ 07306"
19-015006, "BAYSIDE PARK, 8 BAYSIDE PARK DR, BAYSIDE TER & GARFIELD AVE, JERSEY CITY, NJ 07305"
19-018233, "96 BERGEN AVE, DWIGHT ST & STEGMAN ST, JERSEY CITY, NJ 07305"
19-019706, "124 NEPTUNE AVE, OCEAN AVE & OLD BERGEN RD, JERSEY CITY, NJ 07305"
19-024502, "JOURNAL SQUARE TRANSPORTATION CENTER PATH PLAZA, 138 MAGNOLIA AVE, at SUMMIT AVE, JERSEY CITY, NJ 07306"
20-000728, "275 OCEAN AVE, NEW ST & SHEFFIELD ST, JERSEY CITY, NJ 07305"
20-001295, "293 MARTIN LUTHER KING DR, MYRTLE AVE & GRANT AVE, JERSEY CITY, NJ 07305"
19-003244, "2500 JOHN F KENNEDY BLVD, BELMONT AVE & KENSINGTON AVE, JERSEY CITY, NJ 07304"
19-010142, "MARTIN LUTHER KING DR & BRAMHALL AVE, JERSEY CITY, NJ 07304"
19-009996, "SIP AVE & JOHN F KENNEDY BLVD, JERSEY CITY, NJ 07306"
19-019746, "39 HARMON ST, RANDOLPH AVE & GRAND ST, JERSEY CITY, NJ 07304"
19-026542, "450 MARTIN LUTHER KING DR, FORREST ST & OAK ST, JERSEY CITY, NJ 07304"
20-005155, "MONTICELLO AVE & COMMUNIPAW AVE, JERSEY CITY, NJ 07304"
20-006060, "MALLORY AVE & DUNCAN AVE, JERSEY CITY, NJ 07306"
20-007813, "MONTICELLO AVE & REED ST, JERSEY CITY, NJ 07304"
19-000144, "452 WEST SIDE AVE, VIRGINIA AVE & BOYD AVE, JERSEY CITY, NJ 07304"
19-028970, "745 WEST SIDE AVE, GAUTIER AVE & DUNCAN AVE, JERSEY CITY, NJ 07304"
20-000456, "UNION ST & SACKETT ST, JERSEY CITY, NJ 07304"
20-002325, "BRAMHALL AVE & OCEAN AVE, JERSEY CITY, NJ 07304"
20-008627, "412 WEST SIDE AVE, JERSEY CITY, NJ 07305"
19-001859, "JOHN F KENNEDY BLVD & LEXINGTON AVE, JERSEY CITY, NJ 07304"
19-005706, "130 CORBIN AVE, PAVONIA AVE & BROADWAY, JERSEY CITY, NJ 07306"
19-011101, "15 MINERVA ST, at UNION ST, JERSEY CITY, NJ 07304"
19-014176, "COMMUNIPAW AVE & JACKSON ST, JERSEY CITY, NJ 07306"
19-026107, "977 COMMUNIPAW AVE, MALLORY AVE & MARCY AVE, JERSEY CITY, NJ 07304"
20-007338, "306 EGE AVE, W SIDE AVE & MALLORY AVE, JERSEY CITY, NJ 07304"
20-007661, "1 JACKSON ST, CLINTON AVE & COMMUNIPAW AVE, JERSEY CITY, NJ 07306"
19-003079, "VIRGINIA AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07304"
19-008963, "63 ORIENT AVE, ROSE AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
19-009702, "253 MARTIN LUTHER KING DR, WILKINSON AVE & BOSTWICK AVE, JERSEY CITY, NJ 07305"
19-009598, "45 OLD BERGEN RD, PAMRAPO AVE & CUSTER AVE, JERSEY CITY, NJ 07305"
19-029680, "191 BERGEN AVE, AUDUBON AVE & GRANT AVE, JERSEY CITY, NJ 07305"
20-004497, "365 SUMMIT AVE, ACADEMY ST & NEWKIRK ST, JERSEY CITY, NJ 07306"
19-025463, "SOUTH DISTRICT, 191 BERGEN AVE, AUDUBON AVE & GRANT AVE, JERSEY CITY, NJ 07305"
19-029654, "114 MYRTLE AVE, OCEAN AVE & MARTIN LUTHER KING DR, JERSEY CITY, NJ 07305"
20-006277, "110 ARLINGTON AVE, JERSEY CITY, NJ 07305"
20-008989, "18 WINFIELD AVE, PRINCETON AVE & GARFIELD AVE, JERSEY CITY, NJ 07305"
20-009842, "JOHN F. KENNEDY BLVD & BARTHOLDI AVE, JERSEY CITY, NJ 07305"